query,forum_topics_url
MRPL,https://mmb.moneycontrol.com/forum-topics/stocks/mrpl-3541.html
MTNL,https://mmb.moneycontrol.com/forum-topics/stocks/mtnl-442.html
MUKANDLTD,https://mmb.moneycontrol.com/forum-topics/stocks/mukand-45303.html
MUKTAARTS,https://mmb.moneycontrol.com/forum-topics/stocks/mukta-arts-1681.html
MUNJALSHOW,https://mmb.moneycontrol.com/forum-topics/stocks/munjal-showa-39661.html
MYSORECEM,https://mmb.moneycontrol.com/forum-topics/stocks/heidelberg-cem-46401.html
NAGARFERT,https://mmb.moneycontrol.com/forum-topics/stocks/nagarjuna-fert-3228.html
NAHARSPING,https://mmb.moneycontrol.com/forum-topics/stocks/nahar-spinning-8462.html
NATIONALUM,https://mmb.moneycontrol.com/forum-topics/stocks/nalco-3161.html
NAVNETPUBL,https://mmb.moneycontrol.com/forum-topics/stocks/navneet-47761.html
NEPCMICON,https://mmb.moneycontrol.com/forum-topics/stocks/nepc-india-22101.html
NESTLEIND,https://mmb.moneycontrol.com/forum-topics/stocks/nestle-37141.html
NEYVELILIG,https://mmb.moneycontrol.com/forum-topics/stocks/nlc-india-6563.html
NIITLTD,https://mmb.moneycontrol.com/forum-topics/stocks/niit-1961.html
NIRMA,https://mmb.moneycontrol.com/forum-topics/stocks/nirman-agri-512205.html
NOCIL,https://mmb.moneycontrol.com/forum-topics/stocks/nocil-9483.html
NOVA,https://mmb.moneycontrol.com/forum-topics/stocks/new-india-assurance-company-510631.html
NOVARTIND,https://mmb.moneycontrol.com/forum-topics/stocks/novartis-india-8022.html
OENCONNECT,https://mmb.moneycontrol.com/forum-topics/stocks/fci-oen-4181.html
ONGC,https://mmb.moneycontrol.com/forum-topics/stocks/ongc-2161.html
ONWARDTEC,https://mmb.moneycontrol.com/forum-topics/stocks/onward-tech-10025.html
ORCHPHARMA,https://mmb.moneycontrol.com/forum-topics/stocks/orchid-pharma-6044.html
ORIENTBANK,https://mmb.moneycontrol.com/forum-topics/stocks/oriental-bank-6841.html
ORIENTHOT,https://mmb.moneycontrol.com/forum-topics/stocks/oriental-hotels-67941.html
ORIENTINFO,https://mmb.moneycontrol.com/forum-topics/stocks/orient-info-16782.html
ORIENTPPR,https://mmb.moneycontrol.com/forum-topics/stocks/orient-paper-52081.html
OTIS,https://mmb.moneycontrol.com/forum-topics/stocks/otis-elevator-73751.html
PADMINPOLY,https://mmb.moneycontrol.com/forum-topics/stocks/padmini-tech-1241.html
PANACEABIO,https://mmb.moneycontrol.com/forum-topics/stocks/panacea-biotec-17221.html
PAPERPROD,https://mmb.moneycontrol.com/forum-topics/stocks/huhtamaki-ppl-15681.html
PAREKHPLAT,https://mmb.moneycontrol.com/forum-topics/stocks/parekh-platinum-9401.html
PARKEDAVIS,https://mmb.moneycontrol.com/forum-topics/stocks/parke-davis-65983.html
PATANJALI,https://mmb.moneycontrol.com/forum-topics/stocks/patanjali-foods-114055.html
PDUMJEPULP,https://mmb.moneycontrol.com/forum-topics/stocks/pudumjee-pulp-54042.html
PENTACOMMU,https://mmb.moneycontrol.com/forum-topics/stocks/pentasoft-tech-5081.html
PENTSFWARE,https://mmb.moneycontrol.com/forum-topics/stocks/pentamedia-1573.html
PFIZER,https://mmb.moneycontrol.com/forum-topics/stocks/pfizer-2107.html
PHILIPS,https://mmb.moneycontrol.com/forum-topics/stocks/philips-glass-66941.html
